"location_id","national","region","district","subcounty","facility","location_name","deaths","cases","year","week","percent_death"
"AaYhRxVIDDC","MOH - Uganda","Lango","Oyam District","Minakulu Town Council","Martyrs Medical Clinic","Martyrs Medical Clinic",4,4,2022,47,100
"C38yFfDluuD","MOH - Uganda","South Central","Mpigi District","Buwama Town Council","Buwama Medical Centre HC II","Buwama Medical Centre HC II",6,6,2022,46,100
"C38yFfDluuD","MOH - Uganda","South Central","Mpigi District","Buwama Town Council","Buwama Medical Centre HC II","Buwama Medical Centre HC II",5,5,2022,51,100
"CLiNJ245Vaa","MOH - Uganda","North Central","Mukono District","Nakisunga Subcounty","Mwanyangiri HC II","Mwanyangiri HC II",44,44,2022,28,100
"CR3siWc4T3K","MOH - Uganda","Bunyoro","Hoima City","Central Ward","City Medicals HC IV","City Medicals HC IV",4,4,2022,28,100
"CXhRus7sOO2","MOH - Uganda","Lango","Kole District","Aboke Subcounty","St. Lazarus Drugshop","St. Lazarus Drugshop",2,2,2022,2,100
"CqzxNyWUzno","MOH - Uganda","North Central","Mubende District","Western Division (Mubende MC)","Kayinja HC II","Kayinja HC II",79,79,2022,30,100
"DZjkWHQOCGg","MOH - Uganda","Kigezi","Rukungiri District","Kebisoni Subcounty","Nyakazinga HC II","Nyakazinga HC II",1,1,2022,40,100
"EFJpt4v3Xc8","MOH - Uganda","Tooro","Bunyangabu District","Buheesi Town Council","Kibota HC II","Kibota HC II",31,31,2022,17,100
"EP9BtvXaTsa","MOH - Uganda","West Nile","Adjumani District","Dzaipi Subcounty","Ajugopi HC II","Ajugopi HC II",126,126,2022,29,100
"EU0Y5UzmqnB","MOH - Uganda","Busoga","Luuka District","Irongo Subcounty","Butogonya HC II","Butogonya HC II",62,91,2022,12,68.1318681318681
"F1E6OZRWxDc","MOH - Uganda","South Central","Wakiso District","Kajjansi Town Council","Nsaggu HC II","Nsaggu HC II",38,38,2022,48,100
"FtIIuxEaVdq","MOH - Uganda","Busoga","Bugiri District","Bulesa Subcounty","God's Mercy Clinic","God's Mercy Clinic",6,6,2022,47,100
"GTtwaqeomFa","MOH - Uganda","Kigezi","Kisoro District","Rubuguri Town Council","Rubuguri HC IV","Rubuguri HC IV",3,3,2022,8,100
"GoIPHYEhRQa","MOH - Uganda","Kigezi","Kisoro District","Muramba Subcounty","Gisozi HC II","Gisozi HC II",1,1,2022,44,100
"H3x1hRwGwLM","MOH - Uganda","Kigezi","Rukungiri District","Nyarushanje Subcounty","Bunono HC II","Bunono HC II",1,1,2022,6,100
"J3KJzX1JSXu","MOH - Uganda","Bugisu","Bududa District","Nakatsi Subcounty","Bushika HC III","Bushika HC III",13,13,2022,45,100
"Jod4tzrdWrq","MOH - Uganda","Tooro","Fort Portal City","Central Division","Kisakye Clinic (Fort Portal) HC II","Kisakye Clinic (Fort Portal) HC II",1,1,2022,4,100
"Kmw6iQfQA2L","MOH - Uganda","Ankole","Ibanda District","Bisheshe Division","Kabaare HC II","Kabaare HC II",74,143,2022,28,51.7482517482517
"Kmw6iQfQA2L","MOH - Uganda","Ankole","Ibanda District","Bisheshe Division","Kabaare HC II","Kabaare HC II",115,89,2022,30,129.213483146067
"Kmw6iQfQA2L","MOH - Uganda","Ankole","Ibanda District","Bisheshe Division","Kabaare HC II","Kabaare HC II",54,54,2022,40,100
"Kq6r9wr36GH","MOH - Uganda","Kampala","Kampala District","Nakawa Division","Luzira Upper Prison HC III","Luzira Upper Prison HC III",7,7,2022,10,100
"LLs45lStr4N","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bumageni HC II","Bumageni HC II",15,15,2022,42,100
"LLs45lStr4N","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bumageni HC II","Bumageni HC II",24,24,2022,43,100
"LLs45lStr4N","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bumageni HC II","Bumageni HC II",38,38,2022,44,100
"LLs45lStr4N","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bumageni HC II","Bumageni HC II",26,26,2022,45,100
"LLs45lStr4N","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bumageni HC II","Bumageni HC II",76,76,2022,47,100
"LLs45lStr4N","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bumageni HC II","Bumageni HC II",85,85,2022,48,100
"LLs45lStr4N","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bumageni HC II","Bumageni HC II",56,56,2022,49,100
"LLs45lStr4N","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bumageni HC II","Bumageni HC II",61,61,2022,50,100
"LLs45lStr4N","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bumageni HC II","Bumageni HC II",36,36,2022,51,100
"LLs45lStr4N","MOH - Uganda","Bugisu","Bulambuli District","Bukhalu Subcounty","Bumageni HC II","Bumageni HC II",50,50,2022,52,100
"LVowuv0tgrR","MOH - Uganda","Bugisu","Kapchorwa District","Chepterech Subcounty","Chepterech HC II","Chepterech HC II",6,6,2022,1,100
"MHiJvIzpJ05","MOH - Uganda","West Nile","Arua City","Pajulu Subcounty","Pajulu HC III","Pajulu HC III",191,191,2022,12,100
"MN64C4g8Iae","MOH - Uganda","Kigezi","Kabale District","Buhara Subcounty","Rwene HC II","Rwene HC II",1,1,2022,16,100
"OdQ5ixGmXRt","MOH - Uganda","Kampala","Kampala District","Nakawa Division","Luzira Women Prison HC III","Luzira Women Prison HC III",1,1,2022,40,100
"Q2xPLKiCPXu","MOH - Uganda","Ankole","Buhweju District","Karungu Subcounty","Karungu (Buhweju) HC III","Karungu (Buhweju) HC III",4,4,2022,14,100
"QBPWzy66HiY","MOH - Uganda","North Central","Mubende District","Kyenda Town Council","Kitenga HC III","Kitenga HC III",9,9,2022,3,100
"QP3xbv4C32B","MOH - Uganda","Bunyoro","Kakumiro District","Igayaza Town Council","Igayaza HC III","Igayaza HC III",29,29,2022,51,100
"QPEq1rVFQA7","MOH - Uganda","Busoga","Jinja City","Mpumudde Kimaka Division","Jinja Police HC III","Jinja Police HC III",35,35,2022,40,100
"QhjzIx0abeY","MOH - Uganda","Tooro","Bunyangabu District","Kabonero Subcounty","Kabonero HC III","Kabonero HC III",9,9,2022,43,100
"TUvoY8j1BIC","MOH - Uganda","Lango","Oyam District","Otwal Subcounty","Hillcrest Drugshop","Hillcrest Drugshop",11,11,2022,51,100
"Tjj8mXWAJKN","MOH - Uganda","Busoga","Jinja District","Buwenge Subcounty","Muguluka Flep HC II","Muguluka Flep HC II",67,67,2022,27,100
"TqyR7LbraHG","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Clinic HC II","New Health Clinic HC II",2,2,2022,48,100
"UdkpzjDtHXu","MOH - Uganda","Teso","Kalaki District","Otuboi Subcounty","Lwala Hospital","Lwala Hospital",28,47,2022,45,59.5744680851064
"UqgV734bbwY","MOH - Uganda","South Central","Rakai District","Kibanda Subcounty","Bbale-Ggunda HC II","Bbale-Ggunda HC II",68,68,2022,14,100
"V1elCZIHIcR","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","Norvik Hospital","Norvik Hospital",15,15,2022,50,100
"V1elCZIHIcR","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","Norvik Hospital","Norvik Hospital",23,23,2022,52,100
"WWlY7qs18QI","MOH - Uganda","Kampala","Kampala District","Rubaga Division","Kadic Clinic Nakulabye HC II","Kadic Clinic Nakulabye HC II",8,8,2022,26,100
"WWlY7qs18QI","MOH - Uganda","Kampala","Kampala District","Rubaga Division","Kadic Clinic Nakulabye HC II","Kadic Clinic Nakulabye HC II",4,4,2022,27,100
"WdRLrQtK45g","MOH - Uganda","Lango","Kole District","Bala Subcounty","Obanga Omia Drugshop","Obanga Omia Drugshop",3,3,2022,19,100
"WqIepqF88WC","MOH - Uganda","West Nile","Adjumani District","Adjumani Town Council","Reproductive Health Uganda HC II","Reproductive Health Uganda HC II",3,3,2022,32,100
"X9I9B2v5Lyy","MOH - Uganda","Lango","Oyam District","Oyam Town Council","Medicare Drugshop","Medicare Drugshop",6,6,2022,38,100
"XVlKPQYqqfK","MOH - Uganda","North Central","Kyankwanzi District","Wattuba Town Council","Nakitembe HC II","Nakitembe HC II",220,193,2022,25,113.989637305699
"Y2g4sD1OGIa","MOH - Uganda","South Central","Masaka District","Buwunga Subcounty (Masaka District)","Mazinga HC II","Mazinga HC II",30,30,2022,44,100
"Y8UhpQhdeP2","MOH - Uganda","North Central","Luwero District","Bamunanika Subcounty","Bamunanika HC III","Bamunanika HC III",99,99,2022,43,100
"YelOAeRskJ0","MOH - Uganda","West Nile","Zombo District","Paidha Town Council","Rhema Medical Centre Clinic","Rhema Medical Centre Clinic",12,13,2022,23,92.3076923076923
"Yg2fCt03DAE","MOH - Uganda","Lango","Oyam District","Minakulu Town Council","Debrose Medical Clinic HC II","Debrose Medical Clinic HC II",5,5,2022,44,100
"a24jrqnkYhl","MOH - Uganda","South Central","Rakai District","Lwamaggwa Subcounty","Bugona HC II","Bugona HC II",123,123,2022,52,100
"a8Qm23qwGwy","MOH - Uganda","Busoga","Iganga District","Namungalwe Subcounty","Namungalwe HC III","Namungalwe HC III",299,343,2022,10,87.1720116618076
"aAGEaiWfhhP","MOH - Uganda","Ankole","Mitooma District","Rurehe Subcounty","Ryengyerero HC II","Ryengyerero HC II",26,26,2022,9,100
"aDj3EMWCw1G","MOH - Uganda","Ankole","Rwampara District","Rugando Subcounty","Nyabikungu HC II","Nyabikungu HC II",1,1,2022,13,100
"aK4gwJ4rOvw","MOH - Uganda","Busoga","Bugiri District","Nabukalu Subcounty","Wangobo HC II","Wangobo HC II",62,62,2022,33,100
"aK4gwJ4rOvw","MOH - Uganda","Busoga","Bugiri District","Nabukalu Subcounty","Wangobo HC II","Wangobo HC II",43,43,2022,34,100
"aNJUah8tlkm","MOH - Uganda","North Central","Mukono District","Goma Division","Nantabulirwa HC II","Nantabulirwa HC II",18,10,2022,38,180
"aX1tLCw6glR","MOH - Uganda","North Central","Buikwe District","Central Division (Njeru MC)","Bugungu HC II","Bugungu HC II",122,122,2022,1,100
"abHQOTY0rmo","MOH - Uganda","Kigezi","Rukungiri District","Buyanja Town Council","Buyanja HC III","Buyanja HC III",8,8,2022,1,100
"ajuXeILzSDT","MOH - Uganda","Busoga","Bugiri District","Nankoma Subcounty","Matiki HC II","Matiki HC II",196,196,2022,35,100
"aoNyMeWn6YC","MOH - Uganda","Busoga","Mayuge District","Kityerera Subcounty","Kitovu HC II","Kitovu HC II",16,16,2022,52,100
"ap4CDjbaBSp","MOH - Uganda","Busoga","Iganga District","Central Division (Iganga MC)","Nakavule HC II","Nakavule HC II",6,6,2022,30,100
"ap4CDjbaBSp","MOH - Uganda","Busoga","Iganga District","Central Division (Iganga MC)","Nakavule HC II","Nakavule HC II",5,5,2022,36,100
"avJPCoMRZ9n","MOH - Uganda","Busoga","Iganga District","Nabitende Subcounty","Itanda HC II","Itanda HC II",206,206,2022,23,100
"axNVMZcgPLU","MOH - Uganda","North Central","Mukono District","Nama Subcounty","Katoogo HC III","Katoogo HC III",108,108,2022,27,100
"b22OjTlTlBw","MOH - Uganda","Tooro","Fort Portal City","Central Division","Reproductive Health Uganda (Fort Portal) HC II","Reproductive Health Uganda (Fort Portal) HC II",2,2,2022,41,100
"bDQh7NSmTZd","MOH - Uganda","Ankole","Bushenyi District","Ruhumuro Subcounty","Ruhumuro HC III","Ruhumuro HC III",10,10,2022,32,100
"bDhd8xPPaT7","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","Police Mechanical Workshop Clinic HC II","Police Mechanical Workshop Clinic HC II",61,51,2022,29,119.607843137255
"bKfoGEI8IlI","MOH - Uganda","Kampala","Kampala District","Rubaga Division","Kiwumulo Medical Clinic HC II","Kiwumulo Medical Clinic HC II",4,4,2022,23,100
"bYYKbpHb8Y7","MOH - Uganda","Ankole","Buhweju District","Burere Subcounty","Burere HC III","Burere HC III",1,1,2022,47,100
"biRUEhJhHDP","MOH - Uganda","Ankole","Sheema District","Central Division (Sheema MC)","Kitojo (Sheema) HC III","Kitojo (Sheema) HC III",9,2,2022,31,450
"cT9AXrxPMu7","MOH - Uganda","Ankole","Kiruhura District","Kiruhura Town Council","Kiruhura Prisons Clinic","Kiruhura Prisons Clinic",3,3,2022,38,100
"f8m6k3MjPsf","MOH - Uganda","Teso","Serere District","Pingire Subcounty","Pingire HC III","Pingire HC III",14,14,2022,20,100
"fvyS0teVZIt","MOH - Uganda","South Central","Mpigi District","Kammengo Subcounty","St. Michael Kanyike HC III","St. Michael Kanyike HC III",15,15,2022,48,100
"fvyS0teVZIt","MOH - Uganda","South Central","Mpigi District","Kammengo Subcounty","St. Michael Kanyike HC III","St. Michael Kanyike HC III",4,4,2022,49,100
"fvyS0teVZIt","MOH - Uganda","South Central","Mpigi District","Kammengo Subcounty","St. Michael Kanyike HC III","St. Michael Kanyike HC III",8,8,2022,50,100
"fvyS0teVZIt","MOH - Uganda","South Central","Mpigi District","Kammengo Subcounty","St. Michael Kanyike HC III","St. Michael Kanyike HC III",6,6,2022,51,100
"fvyS0teVZIt","MOH - Uganda","South Central","Mpigi District","Kammengo Subcounty","St. Michael Kanyike HC III","St. Michael Kanyike HC III",13,13,2022,52,100
"gipIKtfnrU5","MOH - Uganda","Busoga","Kaliro District","Kisinda Subcounty","Kisinda HC II","Kisinda HC II",200,126,2022,22,158.730158730159
"go8iYQcmIAE","MOH - Uganda","Ankole","Mitooma District","Mutara Subcounty","Mutara HC III","Mutara HC III",9,9,2022,1,100
"go8iYQcmIAE","MOH - Uganda","Ankole","Mitooma District","Mutara Subcounty","Mutara HC III","Mutara HC III",5,5,2022,31,100
"go8iYQcmIAE","MOH - Uganda","Ankole","Mitooma District","Mutara Subcounty","Mutara HC III","Mutara HC III",1,1,2022,42,100
"hrEjabfmkqU","MOH - Uganda","North Central","Luwero District","Kalagala Subcounty","Bugema University HC III","Bugema University HC III",8,14,2022,8,57.1428571428571
"iz2M92TzrKg","MOH - Uganda","Bunyoro","Masindi District","Central Division (Masindi MC)","Kirasa HC II","Kirasa HC II",29,29,2022,8,100
"jrCQHd9oRg6","MOH - Uganda","Busoga","Iganga District","Central Division (Iganga MC)","Iganga Ug. Prison HC II","Iganga Ug. Prison HC II",8,8,2022,10,100
"jrCQHd9oRg6","MOH - Uganda","Busoga","Iganga District","Central Division (Iganga MC)","Iganga Ug. Prison HC II","Iganga Ug. Prison HC II",4,4,2022,37,100
"jrCQHd9oRg6","MOH - Uganda","Busoga","Iganga District","Central Division (Iganga MC)","Iganga Ug. Prison HC II","Iganga Ug. Prison HC II",11,11,2022,40,100
"k4NnCKx6UY9","MOH - Uganda","Ankole","Sheema District","Kasaana Subcounty","Kyeihara HC III","Kyeihara HC III",1,1,2022,28,100
"k4NnCKx6UY9","MOH - Uganda","Ankole","Sheema District","Kasaana Subcounty","Kyeihara HC III","Kyeihara HC III",1,1,2022,42,100
"kiM2BOyZ1V6","MOH - Uganda","Kigezi","Kabale District","Kamuganguzi Subcounty","Kyasano HC II","Kyasano HC II",1,1,2022,52,100
"loYUJYilHdx","MOH - Uganda","Ankole","Buhweju District","Rwengwe Subcounty","Kyeyare HC II","Kyeyare HC II",3,2,2022,38,150
"loYUJYilHdx","MOH - Uganda","Ankole","Buhweju District","Rwengwe Subcounty","Kyeyare HC II","Kyeyare HC II",3,3,2022,45,100
"los6g36at8x","MOH - Uganda","South Central","Lwengo District","Lwengo Subcounty","Birimuye HC II","Birimuye HC II",1,1,2022,22,100
"m5bcdRygx9D","MOH - Uganda","Teso","Kapelebyong District","Acowa Subcounty","Angerepo HC II","Angerepo HC II",134,134,2022,50,100
"mH1WkMQFPY1","MOH - Uganda","North Central","Mukono District","Kisoga Town Council","Kisoga Mirembe Maria HC II","Kisoga Mirembe Maria HC II",16,16,2022,27,100
"nLcJPspov8c","MOH - Uganda","Ankole","Rubirizi District","Katerera Town Council","Katerera HC III","Katerera HC III",72,72,2022,24,100
"nRnQig5xiKQ","MOH - Uganda","Ankole","Mbarara District","Rubindi Subcounty","St. Judie Medical Center Clinic","St. Judie Medical Center Clinic",9,1,2022,35,900
"prOqXqNPpWj","MOH - Uganda","Busoga","Iganga District","Bulamagi Subcounty","Kasolo HC II","Kasolo HC II",47,47,2022,3,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",4,4,2022,1,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",3,3,2022,10,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",2,2,2022,12,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",1,1,2022,14,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",4,4,2022,16,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",2,2,2022,17,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",2,2,2022,18,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",2,2,2022,2,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",3,3,2022,23,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",1,1,2022,24,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",1,1,2022,25,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",2,2,2022,3,100
"pziEESL4waS","MOH - Uganda","Kampala","Kampala District","Nakawa Division","New Health Care Clinic HC II","New Health Care Clinic HC II",1,1,2022,9,100
"q0dM3TKAnQB","MOH - Uganda","North Central","Luwero District","Zirobwe Subcounty","Nakigoza HC II","Nakigoza HC II",40,40,2022,2,100
"qGM0ucFnYBQ","MOH - Uganda","Busoga","Jinja District","Kakira Town Council","Wairaka HC II","Wairaka HC II",47,47,2022,50,100
"qbOt8Nswoff","MOH - Uganda","Bukedi","Tororo District","Rubongi Subcounty","Panyangasi HC III","Panyangasi HC III",151,151,2022,25,100
"qwX7PRDoK0Z","MOH - Uganda","Bunyoro","Kakumiro District","Igayaza Town Council","Kagame HC III","Kagame HC III",10,10,2022,50,100
"riFZJMWkiZR","MOH - Uganda","Lango","Lira City","Central Division (Lira MC)","Lira Medical Centre Ltd HC III","Lira Medical Centre Ltd HC III",9,9,2022,26,100
"sCyAs9yytOk","MOH - Uganda","Busoga","Luuka District","Bukanga Subcounty","Suubi HC III","Suubi HC III",18,18,2022,47,100
"sCyAs9yytOk","MOH - Uganda","Busoga","Luuka District","Bukanga Subcounty","Suubi HC III","Suubi HC III",51,51,2022,50,100
"xTTc0XQndvv","MOH - Uganda","Ankole","Ibanda District","Kijongo Subcounty","Birongo HC II","Birongo HC II",75,75,2022,34,100
"xWhC0f1NxE0","MOH - Uganda","Teso","Kumi District","Mukongoro Subcounty","Mukongoro COU HC II","Mukongoro COU HC II",86,86,2022,16,100
"yyNktXIIvgn","MOH - Uganda","Kigezi","Rukungiri District","Bwambara Subcounty","Rwenshama (GOVT) HC III","Rwenshama (GOVT) HC III",6767,11,2022,41,61518.1818181818
"zF8a3ecq3qd","MOH - Uganda","Kigezi","Rukiga District","Bukinda Subcounty","Karorwa HC II","Karorwa HC II",10,3,2022,33,333.333333333333
