"district","year","week","total_death"
"Rukungiri District",2022,17,1
"Busia District",2022,24,1
"Busia District",2022,36,1
"Busia District",2022,41,1
"Busia District",2022,44,2
"Busia District",2022,47,2
"Lamwo District",2022,34,1
"Yumbe District",2022,25,1
"Kanungu District",2022,1,1
"Kanungu District",2022,25,1
"Kanungu District",2022,28,1
"Kanungu District",2022,3,1
"Kanungu District",2022,38,1
"Kanungu District",2022,45,1
"Kamwenge District",2022,5,1
"Serere District",2022,27,1
"Serere District",2022,7,1
"Kyenjojo District",2022,35,3
"Kyenjojo District",2022,39,1
"Serere District",2022,12,1
"Serere District",2022,48,2
"Mitooma District",2022,44,1
"Fort Portal City",2022,1,5
"Fort Portal City",2022,10,1
"Fort Portal City",2022,11,3
"Fort Portal City",2022,13,2
"Fort Portal City",2022,14,2
"Fort Portal City",2022,15,1
"Fort Portal City",2022,16,2
"Fort Portal City",2022,17,2
"Fort Portal City",2022,18,2
"Fort Portal City",2022,2,7
"Fort Portal City",2022,23,2
"Fort Portal City",2022,24,4
"Fort Portal City",2022,26,1
"Fort Portal City",2022,27,5
"Fort Portal City",2022,28,4
"Fort Portal City",2022,29,2
"Fort Portal City",2022,3,2
"Fort Portal City",2022,30,2
"Fort Portal City",2022,34,1
"Fort Portal City",2022,35,2
"Fort Portal City",2022,36,2
"Fort Portal City",2022,38,6
"Fort Portal City",2022,39,3
"Fort Portal City",2022,4,2
"Fort Portal City",2022,40,1
"Fort Portal City",2022,41,4
"Fort Portal City",2022,42,3
"Fort Portal City",2022,43,3
"Fort Portal City",2022,44,2
"Fort Portal City",2022,45,4
"Fort Portal City",2022,46,2
"Fort Portal City",2022,47,1
"Fort Portal City",2022,48,3
"Fort Portal City",2022,49,1
"Fort Portal City",2022,5,2
"Fort Portal City",2022,50,4
"Fort Portal City",2022,52,3
"Fort Portal City",2022,6,2
"Fort Portal City",2022,7,4
"Fort Portal City",2022,8,1
"Fort Portal City",2022,9,1
"Fort Portal City",2023,1,2
"Iganga District",2022,10,2
"Iganga District",2022,12,2
"Iganga District",2022,13,1
"Iganga District",2022,15,1
"Iganga District",2022,16,1
"Iganga District",2022,18,1
"Iganga District",2022,19,1
"Iganga District",2022,20,1
"Iganga District",2022,21,2
"Iganga District",2022,22,1
"Iganga District",2022,24,2
"Iganga District",2022,25,4
"Iganga District",2022,26,1
"Iganga District",2022,27,3
"Iganga District",2022,28,3
"Iganga District",2022,29,2
"Iganga District",2022,30,2
"Iganga District",2022,31,3
"Iganga District",2022,33,1
"Iganga District",2022,37,2
"Iganga District",2022,38,2
"Iganga District",2022,39,1
"Iganga District",2022,41,1
"Iganga District",2022,42,1
"Iganga District",2022,43,2
"Iganga District",2022,44,1
"Iganga District",2022,5,1
"Iganga District",2022,50,1
"Iganga District",2022,52,2
"Iganga District",2022,6,1
"Iganga District",2022,7,2
"Iganga District",2022,8,1
"Iganga District",2022,9,1
"Buliisa District",2022,11,1
"Buliisa District",2022,2,1
"Buliisa District",2022,22,1
"Buliisa District",2022,27,1
"Buliisa District",2022,4,4
"Buliisa District",2022,45,2
"Buliisa District",2022,48,1
"Buliisa District",2022,49,1
"Adjumani District",2022,38,9
"Lyantonde District",2022,49,1
"Kasese District",2022,31,1
"Ntungamo District",2022,33,1
"Ntungamo District",2022,37,1
"Ntungamo District",2022,44,1
"Ntungamo District",2022,51,1
"Agago District",2022,40,1
"Madi-Okollo District",2022,33,1
"Otuke District",2022,1,3
"Otuke District",2022,10,1
"Otuke District",2022,13,1
"Otuke District",2022,17,1
"Otuke District",2022,18,1
"Otuke District",2022,19,2
"Otuke District",2022,24,1
"Otuke District",2022,25,1
"Otuke District",2022,31,1
"Otuke District",2022,39,1
"Otuke District",2022,43,1
"Otuke District",2022,45,1
"Otuke District",2022,49,2
"Otuke District",2022,9,1
"Kayunga District",2022,13,1
"Kitgum District",2022,41,2
"Kitgum District",2022,9,3
"Ngora District",2022,18,1
"Kyenjojo District",2022,13,1
"Kyenjojo District",2022,15,1
"Kyenjojo District",2022,17,1
"Kyenjojo District",2022,19,1
"Kyenjojo District",2022,20,3
"Kyenjojo District",2022,21,1
"Kyenjojo District",2022,22,1
"Kyenjojo District",2022,23,1
"Kyenjojo District",2022,24,2
"Kyenjojo District",2022,27,2
"Kyenjojo District",2022,30,2
"Kyenjojo District",2022,31,2
"Kyenjojo District",2022,37,1
"Kyenjojo District",2022,41,2
"Kyenjojo District",2022,43,1
"Kyenjojo District",2022,47,1
"Kyenjojo District",2022,48,1
"Kyenjojo District",2022,50,6
"Kyenjojo District",2022,51,2
"Kyenjojo District",2023,1,2
"Arua City",2022,39,1
"Arua City",2022,44,1
"Arua City",2022,49,1
"Dokolo District",2022,11,1
"Dokolo District",2022,24,1
"Yumbe District",2022,1,3
"Yumbe District",2022,14,3
"Yumbe District",2022,19,2
"Yumbe District",2022,26,2
"Yumbe District",2022,29,1
"Yumbe District",2022,30,2
"Yumbe District",2022,44,1
"Yumbe District",2022,45,3
"Yumbe District",2022,50,1
"Madi-Okollo District",2022,49,1
"Lamwo District",2022,1,1
"Lamwo District",2022,11,1
"Lamwo District",2022,18,2
"Lamwo District",2022,21,3
"Lamwo District",2022,25,2
"Lamwo District",2022,26,2
"Lamwo District",2022,30,1
"Lamwo District",2022,35,1
"Lamwo District",2022,4,1
"Lamwo District",2022,40,1
"Lamwo District",2022,42,1
"Lamwo District",2022,45,2
"Lamwo District",2022,49,1
"Zombo District",2022,36,2
"Mbale District",2022,3,1
"Yumbe District",2022,15,2
"Yumbe District",2022,16,1
"Yumbe District",2022,2,1
"Yumbe District",2022,24,1
"Yumbe District",2022,4,1
"Yumbe District",2022,43,2
"Yumbe District",2022,51,1
"Zombo District",2022,2,1
"Kasese District",2022,10,2
"Kasese District",2022,14,2
"Kasese District",2022,2,1
"Kasese District",2022,21,1
"Kasese District",2022,29,1
"Kasese District",2022,3,2
"Kasese District",2022,6,1
"Kasese District",2022,8,1
"Kamwenge District",2022,10,3
"Kamwenge District",2022,11,1
"Kamwenge District",2022,28,1
"Kamwenge District",2022,29,1
"Kamwenge District",2022,31,1
"Kamwenge District",2022,32,2
"Kamwenge District",2022,4,1
"Kamwenge District",2022,40,2
"Kamwenge District",2022,42,1
"Kamwenge District",2022,43,1
"Kamwenge District",2022,44,1
"Kamwenge District",2022,47,1
"Kamwenge District",2022,48,1
"Kamwenge District",2022,6,3
"Kamwenge District",2022,7,1
"Kamwenge District",2022,8,2
"Kamwenge District",2022,9,1
"Mbale City",2022,1,12
"Mbale City",2022,10,5
"Mbale City",2022,11,5
"Mbale City",2022,12,3
"Mbale City",2022,13,2
"Mbale City",2022,14,3
"Mbale City",2022,15,2
"Mbale City",2022,16,2
"Mbale City",2022,17,6
"Mbale City",2022,18,4
"Mbale City",2022,19,8
"Mbale City",2022,2,13
"Mbale City",2022,20,3
"Mbale City",2022,21,1
"Mbale City",2022,22,6
"Mbale City",2022,23,1
"Mbale City",2022,24,2
"Mbale City",2022,25,3
"Mbale City",2022,27,2
"Mbale City",2022,28,3
"Mbale City",2022,29,3
"Mbale City",2022,3,9
"Mbale City",2022,30,11
"Mbale City",2022,31,6
"Mbale City",2022,32,5
"Mbale City",2022,33,9
"Mbale City",2022,34,8
"Mbale City",2022,35,11
"Mbale City",2022,36,7
"Mbale City",2022,37,5
"Mbale City",2022,38,3
"Mbale City",2022,39,7
"Mbale City",2022,4,8
"Mbale City",2022,40,4
"Mbale City",2022,41,6
"Mbale City",2022,42,5
"Mbale City",2022,43,7
"Mbale City",2022,44,4
"Mbale City",2022,45,4
"Mbale City",2022,46,4
"Mbale City",2022,47,4
"Mbale City",2022,48,2
"Mbale City",2022,49,4
"Mbale City",2022,5,6
"Mbale City",2022,50,4
"Mbale City",2022,51,3
"Mbale City",2022,6,5
"Mbale City",2022,8,4
"Mbale City",2022,9,4
"Mbale City",2023,1,4
"Nwoya District",2022,21,1
"Amuria District",2022,33,1
"Koboko District",2022,10,1
"Koboko District",2022,3,1
"Koboko District",2022,44,1
"Manafwa District",2022,30,1
"Kagadi District",2022,11,1
"Kagadi District",2022,15,1
"Kagadi District",2022,18,4
"Kagadi District",2022,27,1
"Kagadi District",2022,28,1
"Kagadi District",2022,29,1
"Kagadi District",2022,3,2
"Kagadi District",2022,31,1
"Kagadi District",2022,32,6
"Kagadi District",2022,33,2
"Kagadi District",2022,34,3
"Kagadi District",2022,37,2
"Kagadi District",2022,38,1
"Kagadi District",2022,39,2
"Kagadi District",2022,4,3
"Kagadi District",2022,40,1
"Kagadi District",2022,42,1
"Kagadi District",2022,49,1
"Kagadi District",2022,6,3
"Kagadi District",2022,8,1
"Kagadi District",2022,9,4
"Fort Portal City",2022,25,1
"Kasese District",2022,18,1
"Kasese District",2022,37,1
"Iganga District",2022,3,1
"Iganga District",2022,32,1
"Iganga District",2022,45,1
"Isingiro District",2022,35,1
"Nebbi District",2022,13,1
"Nebbi District",2022,14,1
"Nebbi District",2022,21,1
"Nebbi District",2022,22,1
"Nebbi District",2022,24,4
"Nebbi District",2022,30,1
"Nebbi District",2022,31,1
"Nebbi District",2022,32,4
"Nebbi District",2022,41,1
"Nebbi District",2022,42,2
"Nebbi District",2022,43,1
"Nebbi District",2022,45,1
"Nebbi District",2022,49,3
"Mitooma District",2022,40,5
"Kakumiro District",2022,28,3
"Kakumiro District",2022,37,2
"Kakumiro District",2022,46,2
"Otuke District",2022,34,1
"Buyende District",2022,20,1
"Kyenjojo District",2022,12,1
"Kyenjojo District",2022,29,1
"Kyenjojo District",2022,4,2
"Kyenjojo District",2022,52,2
"Kamuli District",2022,13,2
"Kamuli District",2022,2,3
"Kamuli District",2022,25,1
"Kamuli District",2022,3,2
"Kamuli District",2022,34,1
"Kamuli District",2022,4,1
"Kamuli District",2022,40,1
"Kamuli District",2022,46,2
"Kamuli District",2022,49,3
"Kyotera District",2022,38,1
"Kyotera District",2022,43,1
"Kyotera District",2022,45,1
"Zombo District",2022,41,1
"Bunyangabu District",2022,7,1
"Bunyangabu District",2022,8,1
"Kalungu District",2022,12,1
"Kalungu District",2022,16,1
"Kalungu District",2022,22,1
"Kalungu District",2022,23,1
"Kalungu District",2022,28,1
"Kalungu District",2022,36,1
"Kalungu District",2022,38,1
"Kalungu District",2022,46,1
"Pader District",2022,36,1
"Pader District",2022,43,1
"Kyegegwa District",2022,24,2
"Namayingo District",2022,39,1
"Soroti City",2022,41,4
"Buliisa District",2022,43,1
"Apac District",2022,10,1
"Apac District",2022,11,1
"Apac District",2022,12,1
"Apac District",2022,16,1
"Apac District",2022,19,1
"Apac District",2022,32,2
"Apac District",2022,33,2
"Apac District",2022,36,1
"Apac District",2022,37,2
"Apac District",2022,38,1
"Apac District",2022,39,1
"Apac District",2022,4,1
"Apac District",2022,41,1
"Apac District",2022,42,1
"Yumbe District",2022,47,2
"Madi-Okollo District",2022,25,1
"Madi-Okollo District",2022,26,1
"Madi-Okollo District",2022,39,1
"Kaberamaido District",2022,10,1
"Kaberamaido District",2022,11,1
"Kaberamaido District",2022,12,1
"Kaberamaido District",2022,16,2
"Kaberamaido District",2022,25,3
"Kaberamaido District",2022,31,1
"Kaberamaido District",2022,33,1
"Kaberamaido District",2022,39,1
"Kaberamaido District",2022,41,2
"Kaberamaido District",2022,44,1
"Kaberamaido District",2022,48,1
"Kaberamaido District",2022,49,1
"Kaberamaido District",2022,52,1
"Kaberamaido District",2022,8,3
"Nwoya District",2022,43,1
"Kyenjojo District",2022,2,1
"Kyenjojo District",2022,38,1
"Kyenjojo District",2022,42,1
"Kasese District",2022,33,3
"Masaka City",2022,28,1
"Pakwach District",2022,1,1
"Pakwach District",2022,12,2
"Pakwach District",2022,21,1
"Pakwach District",2022,22,1
"Pakwach District",2022,29,1
"Pakwach District",2022,30,1
"Pakwach District",2022,31,1
"Pakwach District",2022,36,1
"Pakwach District",2022,39,2
"Pakwach District",2022,4,1
"Pakwach District",2022,42,1
"Pakwach District",2022,43,1
"Pakwach District",2022,46,1
"Pakwach District",2022,48,1
"Pakwach District",2022,49,1
"Pakwach District",2022,51,1
"Pakwach District",2022,52,2
"Pakwach District",2022,9,1
"Koboko District",2022,43,1
"Isingiro District",2022,22,1
"Isingiro District",2022,28,1
"Adjumani District",2022,44,1
"Adjumani District",2022,47,1
"Tororo District",2022,25,2
"Tororo District",2022,27,1
"Tororo District",2022,28,6
"Tororo District",2022,29,3
"Tororo District",2022,30,4
"Tororo District",2022,31,3
"Tororo District",2022,32,2
"Tororo District",2022,33,1
"Tororo District",2022,34,1
"Tororo District",2022,37,4
"Tororo District",2022,38,2
"Tororo District",2022,39,1
"Tororo District",2022,40,1
"Tororo District",2022,42,1
"Tororo District",2022,45,1
"Tororo District",2022,48,3
"Tororo District",2022,49,3
"Tororo District",2022,50,1
"Tororo District",2022,52,2
"Tororo District",2023,1,1
"Gulu City",2022,10,4
"Moroto District",2022,14,1
"Mbarara District",2022,44,1
"Jinja City",2022,40,1
"Ntoroko District",2022,39,1
"Arua City",2022,10,1
"Arua City",2022,12,1
"Arua City",2022,18,3
"Arua City",2022,23,1
"Arua City",2022,24,1
"Arua City",2022,3,1
"Arua City",2022,36,1
"Arua City",2022,41,1
"Arua City",2022,5,1
"Arua City",2022,6,1
"Karenga District",2022,38,1
"Kaliro District",2022,18,1
"Isingiro District",2022,4,4
"Napak District",2022,21,1
"Napak District",2022,32,2
"Hoima City",2022,10,1
"Hoima City",2022,12,2
"Hoima City",2022,14,2
"Hoima City",2022,16,2
"Hoima City",2022,17,2
"Hoima City",2022,18,2
"Hoima City",2022,19,2
"Hoima City",2022,20,3
"Hoima City",2022,21,3
"Hoima City",2022,22,3
"Hoima City",2022,23,5
"Hoima City",2022,24,1
"Hoima City",2022,25,3
"Hoima City",2022,26,3
"Hoima City",2022,27,9
"Hoima City",2022,28,5
"Hoima City",2022,29,7
"Hoima City",2022,30,6
"Hoima City",2022,31,1
"Hoima City",2022,33,1
"Hoima City",2022,34,1
"Hoima City",2022,35,2
"Hoima City",2022,36,1
"Hoima City",2022,37,1
"Hoima City",2022,38,3
"Hoima City",2022,40,4
"Hoima City",2022,41,2
"Hoima City",2022,42,2
"Hoima City",2022,43,3
"Hoima City",2022,44,1
"Hoima City",2022,45,4
"Hoima City",2022,46,4
"Hoima City",2022,47,3
"Hoima City",2022,48,5
"Hoima City",2022,49,2
"Hoima City",2022,51,2
"Hoima City",2022,52,3
"Hoima City",2022,6,4
"Hoima City",2022,7,2
"Hoima City",2022,9,2
"Bukomansimbi District",2022,40,1
"Buliisa District",2022,3,1
"Buliisa District",2022,34,1
"Mubende District",2022,20,1
"Mubende District",2022,22,1
"Lamwo District",2022,28,2
"Karenga District",2022,36,3
"Moyo District",2022,39,1
"Kasese District",2022,40,1
"Kasese District",2022,9,1
"Butaleja District",2022,23,2
"Kikuube District",2022,33,1
"Kikuube District",2022,45,1
"Kiboga District",2022,11,3
"Namayingo District",2022,9,1
"Rakai District",2022,15,1
"Kwania District",2022,28,1
"Kamuli District",2022,23,1
"Kamuli District",2022,33,1
"Kamuli District",2022,44,1
"Amolatar District",2022,20,1
"Amolatar District",2022,23,1
"Amolatar District",2022,25,1
"Amolatar District",2022,47,1
"Amolatar District",2022,52,1
"Mbarara City",2022,15,1
"Mbarara City",2022,6,1
"Kiryandongo District",2022,1,1
"Kiryandongo District",2022,11,2
"Kiryandongo District",2022,14,1
"Kiryandongo District",2022,15,2
"Kiryandongo District",2022,17,2
"Kiryandongo District",2022,18,2
"Kiryandongo District",2022,20,2
"Kiryandongo District",2022,22,2
"Kiryandongo District",2022,23,3
"Kiryandongo District",2022,24,1
"Kiryandongo District",2022,26,2
"Kiryandongo District",2022,27,2
"Kiryandongo District",2022,28,1
"Kiryandongo District",2022,31,3
"Kiryandongo District",2022,32,1
"Kiryandongo District",2022,33,1
"Kiryandongo District",2022,39,1
"Kiryandongo District",2022,4,1
"Kiryandongo District",2022,40,1
"Kiryandongo District",2022,43,1
"Kiryandongo District",2022,48,1
"Kiryandongo District",2022,49,1
"Kiryandongo District",2022,51,1
"Kiryandongo District",2022,9,1
"Nabilatuk District",2022,13,1
"Nabilatuk District",2022,18,1
"Nabilatuk District",2022,23,2
"Nabilatuk District",2022,42,1
"Kasese District",2022,12,1
"Oyam District",2022,16,1
"Kotido District",2022,4,1
"Kotido District",2022,24,3
"Rukungiri District",2022,25,1
"Arua District",2022,18,1
"Mbarara City",2022,21,1
"Mbarara City",2022,44,1
"Mbarara City",2022,47,1
"Mbarara City",2022,52,1
"Kumi District",2022,11,1
"Kumi District",2022,43,2
"Kumi District",2022,48,4
"Kumi District",2022,50,1
"Namutumba District",2022,10,2
"Namutumba District",2022,11,1
"Namutumba District",2022,13,1
"Namutumba District",2022,14,1
"Namutumba District",2022,19,4
"Namutumba District",2022,22,1
"Namutumba District",2022,24,1
"Namutumba District",2022,27,1
"Namutumba District",2022,29,1
"Namutumba District",2022,33,2
"Namutumba District",2022,36,1
"Namutumba District",2022,38,1
"Namutumba District",2022,40,1
"Namutumba District",2022,42,2
"Namutumba District",2022,49,1
"Namutumba District",2022,5,1
"Namutumba District",2022,52,2
"Namutumba District",2022,8,1
"Namutumba District",2022,9,1
"Gulu City",2022,1,2
"Gulu City",2022,11,1
"Gulu City",2022,12,1
"Gulu City",2022,16,2
"Gulu City",2022,18,1
"Gulu City",2022,19,2
"Gulu City",2022,2,2
"Gulu City",2022,20,3
"Gulu City",2022,22,1
"Gulu City",2022,24,1
"Gulu City",2022,25,1
"Gulu City",2022,26,1
"Gulu City",2022,28,2
"Gulu City",2022,29,2
"Gulu City",2022,3,1
"Gulu City",2022,34,2
"Gulu City",2022,35,2
"Gulu City",2022,36,2
"Gulu City",2022,39,2
"Gulu City",2022,42,1
"Gulu City",2022,48,1
"Gulu City",2022,5,1
"Gulu City",2022,8,1
"Gulu City",2022,9,2
"Gulu City",2023,1,1
"Obongi District",2022,15,1
"Lira District",2023,1,1
"Nakasongola District",2022,15,1
"Nakasongola District",2022,28,1
"Nakasongola District",2022,31,1
"Nakasongola District",2022,32,1
"Nakasongola District",2022,33,1
"Buikwe District",2022,7,1
"Budaka District",2022,47,1
"Kyenjojo District",2022,32,1
"Alebtong District",2022,8,1
"Kiboga District",2022,15,1
"Kiboga District",2022,3,1
"Kiboga District",2022,4,1
"Kiboga District",2022,43,1
"Kiboga District",2022,8,1
"Kiboga District",2022,9,1
"Buvuma District",2022,23,1
"Ibanda District",2022,14,1
"Ibanda District",2022,15,1
"Ibanda District",2022,17,1
"Ibanda District",2022,20,2
"Ibanda District",2022,22,1
"Ibanda District",2022,23,1
"Ibanda District",2022,25,2
"Ibanda District",2022,26,1
"Ibanda District",2022,28,1
"Ibanda District",2022,29,1
"Ibanda District",2022,31,2
"Ibanda District",2022,38,1
"Ibanda District",2022,40,1
"Ibanda District",2022,43,1
"Ibanda District",2022,44,1
"Ibanda District",2022,45,1
"Ibanda District",2022,46,1
"Ibanda District",2022,47,2
"Ibanda District",2022,48,2
"Ibanda District",2022,52,1
"Kumi District",2022,18,1
"Kumi District",2022,2,1
"Kumi District",2022,41,1
"Kumi District",2022,42,1
"Nabilatuk District",2022,12,2
"Nabilatuk District",2022,15,1
"Nabilatuk District",2022,16,1
"Nabilatuk District",2022,19,1
"Nabilatuk District",2022,2,1
"Nabilatuk District",2022,20,1
"Nabilatuk District",2022,21,3
"Nabilatuk District",2022,22,1
"Nabilatuk District",2022,26,2
"Nabilatuk District",2022,29,1
"Nabilatuk District",2022,31,2
"Nabilatuk District",2022,39,1
"Nabilatuk District",2022,41,1
"Nabilatuk District",2022,43,1
"Nabilatuk District",2022,45,2
"Nabilatuk District",2022,51,1
"Isingiro District",2022,17,2
"Pallisa District",2022,13,1
"Pallisa District",2022,28,1
"Rakai District",2022,40,2
"Namayingo District",2022,19,1
"Kaliro District",2022,11,1
"Kasese District",2022,39,1
"Omoro District",2022,45,1
"Namisindwa District",2022,31,1
"Kampala District",2022,11,1
"Kampala District",2023,1,2
"Obongi District",2022,36,1
"Obongi District",2022,43,1
"Obongi District",2023,1,1
"Kaliro District",2022,23,1
"Kaliro District",2022,3,1
"Lira City",2022,16,1
"Lira City",2022,25,1
"Lira City",2022,27,1
"Lira City",2022,28,1
"Lira City",2022,31,1
"Lira City",2022,38,1
"Kampala District",2022,29,5
"Kampala District",2022,30,2
"Wakiso District",2022,27,1
"Kiryandongo District",2022,30,1
"Kazo District",2022,6,1
"Kampala District",2022,39,1
"Kampala District",2022,46,3
"Kampala District",2022,9,1
"Mukono District",2022,50,2
"Yumbe District",2022,10,1
"Luwero District",2022,21,1
"Luwero District",2022,22,1
"Lamwo District",2022,48,3
"Masindi District",2022,11,1
"Masindi District",2022,12,1
"Masindi District",2022,16,1
"Masindi District",2022,21,1
"Masindi District",2022,22,1
"Masindi District",2022,28,1
"Masindi District",2022,30,1
"Masindi District",2022,33,1
"Masindi District",2022,35,1
"Masindi District",2022,36,1
"Masindi District",2022,39,1
"Masindi District",2022,41,1
"Masindi District",2022,5,1
"Masindi District",2022,52,1
"Masindi District",2023,1,1
"Buvuma District",2022,11,1
"Buvuma District",2022,8,1
"Kakumiro District",2022,14,1
"Kakumiro District",2022,20,1
"Kakumiro District",2022,48,2
"Kakumiro District",2022,49,1
"Kakumiro District",2023,1,1
"Kasese District",2022,5,1
"Kasese District",2022,7,1
"Kyegegwa District",2022,1,1
"Kyegegwa District",2022,16,1
"Kyegegwa District",2022,21,1
"Kyegegwa District",2022,26,1
"Kyegegwa District",2022,27,1
"Kyegegwa District",2022,46,1
"Kikuube District",2022,26,1
"Kikuube District",2022,38,1
"Kikuube District",2022,44,1
"Kikuube District",2022,47,1
"Kikuube District",2022,7,1
"Kikuube District",2022,8,2
"Rukungiri District",2022,44,1
"Terego District",2022,45,1
"Kibuku District",2022,23,1
"Nakasongola District",2022,4,1
"Kampala District",2022,42,1
"Kampala District",2022,44,3
"Kampala District",2022,45,2
"Kampala District",2022,47,2
"Kampala District",2022,48,1
"Kampala District",2022,50,2
"Kampala District",2022,52,4
"Lira City",2022,32,1
"Nebbi District",2022,1,1
"Nebbi District",2022,2,2
"Nebbi District",2022,3,1
"Nebbi District",2022,7,1
"Kibaale District",2022,52,3
"Kakumiro District",2022,26,1
"Kakumiro District",2022,3,1
"Kakumiro District",2022,51,2
"Kakumiro District",2022,9,1
"Kitgum District",2022,1,2
"Kitgum District",2022,10,1
"Kitgum District",2022,18,4
"Kitgum District",2022,2,2
"Kitgum District",2022,26,3
"Kitgum District",2022,28,1
"Kitgum District",2022,29,1
"Kitgum District",2022,31,2
"Kitgum District",2022,4,3
"Kitgum District",2022,5,1
"Kitgum District",2022,52,2
"Kitgum District",2022,6,5
"Kitgum District",2022,7,4
"Kiboga District",2022,26,1
"Yumbe District",2022,31,1
"Amuria District",2022,11,1
"Amuria District",2022,31,1
"Amuria District",2022,36,1
"Amuria District",2022,38,1
"Amuria District",2022,9,1
"Kibuku District",2022,11,3
"Kibuku District",2022,14,3
"Kibuku District",2022,15,2
"Kibuku District",2022,17,3
"Kibuku District",2022,21,1
"Kibuku District",2022,22,2
"Kibuku District",2022,24,1
"Kibuku District",2022,26,2
"Kibuku District",2022,27,1
"Kibuku District",2022,28,4
"Kibuku District",2022,29,1
"Kibuku District",2022,31,1
"Kibuku District",2022,41,2
"Kibuku District",2022,42,2
"Kibuku District",2022,44,1
"Kibuku District",2022,47,1
"Kibuku District",2022,50,1
"Kibuku District",2023,1,1
"Bugweri District",2022,25,1
"Bugweri District",2022,33,1
"Bugweri District",2022,36,1
"Bugweri District",2022,38,1
"Bugweri District",2022,42,1
"Bugweri District",2022,43,2
"Terego District",2022,1,1
"Isingiro District",2022,1,1
"Isingiro District",2022,10,2
"Isingiro District",2022,11,1
"Isingiro District",2022,2,1
"Isingiro District",2022,27,1
"Isingiro District",2022,6,2
"Isingiro District",2022,9,1
"Mitooma District",2022,31,1
"Kampala District",2022,14,1
"Wakiso District",2022,50,1
"Pader District",2022,22,1
"Nakaseke District",2022,43,1
"Napak District",2022,24,2
"Masaka City",2022,11,1
"Masaka City",2022,15,1
"Masaka City",2022,19,1
"Masaka City",2022,21,1
"Masaka City",2022,24,1
"Masaka City",2022,25,1
"Masaka City",2022,6,1
"Maracha District",2022,31,1
"Amuria District",2022,32,2
"Kaabong District",2022,42,1
"Kaabong District",2022,44,2
"Kaabong District",2022,45,3
"Alebtong District",2022,1,1
"Alebtong District",2022,13,2
"Alebtong District",2022,22,1
"Alebtong District",2022,24,1
"Alebtong District",2022,29,1
"Alebtong District",2022,33,2
"Alebtong District",2022,36,1
"Alebtong District",2022,45,2
"Alebtong District",2022,47,1
"Alebtong District",2022,9,1
"Apac District",2022,6,1
"Adjumani District",2022,50,2
"Kibaale District",2022,49,1
"Kibaale District",2022,50,3
"Mayuge District",2022,27,1
"Mayuge District",2022,28,1
"Mayuge District",2022,29,2
"Mayuge District",2022,31,1
"Mayuge District",2022,33,2
"Mayuge District",2022,37,1
"Mayuge District",2022,38,2
"Mayuge District",2022,42,1
"Mayuge District",2022,50,1
"Kwania District",2022,4,1
"Nakasongola District",2022,20,1
"Nakasongola District",2022,35,1
"Luuka District",2022,11,1
"Bushenyi District",2022,19,1
"Serere District",2023,1,1
"Nakapiripirit District",2022,22,1
"Kampala District",2022,13,1
"Kampala District",2022,23,1
"Yumbe District",2022,38,1
"Zombo District",2022,47,1
"Lamwo District",2022,13,1
"Butaleja District",2022,14,2
"Butaleja District",2022,19,1
"Butaleja District",2022,2,1
"Butaleja District",2022,21,1
"Butaleja District",2022,28,2
"Butaleja District",2022,33,1
"Butaleja District",2022,35,2
"Butaleja District",2022,36,1
"Butaleja District",2022,37,1
"Butaleja District",2022,42,1
"Butaleja District",2022,46,1
"Butaleja District",2022,8,2
"Fort Portal City",2022,21,1
"Katakwi District",2022,34,6
"Masaka City",2022,3,1
"Masaka City",2022,44,1
"Masaka City",2022,45,1
"Masaka City",2023,1,1
"Kakumiro District",2022,31,1
"Bundibugyo District",2022,37,1
"Kotido District",2022,25,2
"Kitagwenda District",2022,4,1
"Manafwa District",2022,3,1
"Nakasongola District",2022,34,1
"Bunyangabu District",2022,37,1
"Kyenjojo District",2022,5,1
"Kyegegwa District",2022,36,1
"Kyegegwa District",2022,39,1
"Butebo District",2022,11,1
"Bududa District",2022,42,1
"Butambala District",2022,35,1
"Butambala District",2022,48,3
"Butambala District",2022,49,3
"Moroto District",2022,32,1
"Kitgum District",2022,12,1
"Kitgum District",2022,15,3
"Kitgum District",2022,16,3
"Kitgum District",2022,21,1
"Kitgum District",2022,24,3
"Kitgum District",2022,25,5
"Kitgum District",2022,27,1
"Kitgum District",2022,32,2
"Kitgum District",2022,34,1
"Kitgum District",2022,35,1
"Kitgum District",2022,45,1
"Kibuku District",2022,36,1
"Serere District",2022,50,1
"Kapchorwa District",2022,15,1
"Kapchorwa District",2022,48,1
"Kapchorwa District",2022,9,1
